0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9,label
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07475536102639715,100,0.0009734009910764274,0.03219124659046407,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.031114832822351057,100,0.20349774894597272,100,100,100,100,100,100,100,100,0.023367326106106937,100,100,0.9501350048967395,100,100,100,100,100,0.02311822106430915,100,100,100,1.3431432136101242,100,100,100,0.3007223992247979,100,100,100,100,100,100,100,0.9412898038651103,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0712272787030656,100,0.0011528301558499773,0.03237603932475495,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.031047194492611875,100,0.19291277558923764,100,100,100,100,100,100,100,100,0.034244324566995867,100,100,0.9476993530552238,100,100,100,100,100,100,100,100,100,1.3398519403498321,100,100,100,0.3124050217085321,100,100,100,100,100,100,1.3796146269740537,1.1046012743009692,100,100,100,100,100,100,100,1
100,100,100,100,100,100,0.6983011450989984,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07557686046448557,100,0.0009308641975646931,0.032251196774942904,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030511111111188913,100,100,100,100,100,100,100,100,100,100,0.031012194507305163,100,100,0.9480986183733432,100,100,100,100,100,0.022494657061473952,100,100,100,1.3401127236072965,100,100,100,0.29787447102786263,100,100,100,100,100,100,100,1.0988363829888081,100,100,100,100,100,100,100,1
100,100,100,100,100,100,0.699414097535049,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07267216879323675,100,0.0010910494202853284,0.03219124659046407,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030526046060436393,100,0.19992962068028983,100,100,100,100,100,100,100,100,100,100,100,0.9483003049969493,100,100,100,100,100,0.00901807456578469,100,100,100,100,100,100,100,0.31213911390530547,100,100,100,100,100,100,1.3753096887619365,0.9735773582532838,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07536872257335168,100,0.0010118850079876734,0.031803199818638904,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030246952206802992,100,0.1978324489355248,100,100,100,100,100,100,100,100,100,0.08017915616704742,100,0.94905437028436,100,100,100,100,100,0.01393509979975315,100,100,100,1.3510223107207573,100,100,100,0.2966597287024908,100,100,100,100,100,100,1.3754153460375464,100,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07475536102639715,100,0.0011164197446215155,0.03219124659046407,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030526046060436393,100,0.20855890870266963,100,100,100,100,100,100,100,100,100,100,100,0.9483003049969493,100,100,100,100,100,0.012942963659733676,100,100,100,1.3468738498665473,100,100,100,0.3007223992247979,100,100,100,100,100,100,100,0.9814033639572983,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07475536102639715,100,0.0011164197446215155,0.03219124659046407,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030526046060436393,100,0.19849956825012738,100,100,100,100,100,100,100,100,0.023367326106106937,100,100,0.9565347747399974,100,100,100,100,100,0.019223644820540526,100,100,100,100,100,100,100,0.3165979227187225,100,100,100,100,100,100,1.356294847037875,0.9689913991846459,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07475536102639715,100,0.0011164197446215155,0.03219124659046407,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030526046060436393,100,0.18869214404298074,100,100,100,100,100,100,100,100,0.02378647085237573,100,100,0.9501350048967395,100,100,100,100,100,0.02260582281236522,100,100,100,1.3468738498665473,100,100,100,0.3077135223954798,100,100,100,100,100,100,100,1.1096704179001864,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0751128261929472,100,0.0010525565601355947,0.0320066515695427,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0308086869007183,100,0.20418585859744487,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.022997237632497627,100,100,100,1.2027625475769375,100,100,100,0.30922689800301706,100,100,100,100,100,1.5811104554990496,100,0.9565824883118939,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0751128261929472,100,0.0009349081309266938,0.03286746532410745,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0308086869007183,100,0.192812977151803,100,100,100,100,100,100,100,100,0.0235102881402526,100,100,0.9461978574809808,100,100,100,100,100,0.022997237632497627,100,100,100,1.34271914960165,100,100,100,0.30922689800301706,100,100,100,100,100,100,100,1.0050153671457496,100,100,100,100,100,100,100,1
